attendance,cgpa,avg_current_grade,certificates,internships,department,year,gender,residence,school_type,extra_curricular,library_usage,project_involvement,activity_score,gpa_sem1,gpa_sem2,grade_trend,risk_level
77,7.93,8.28,6.74,6,CE,1st,F,Urban,Government,10,21,0,6.37,9.92,5.64,-4.28,0
96,6.13,4.95,5.72,4,CE,4th,F,Urban,Private,3,23,0,4.86,5.52,9.32,3.8,0
56,9.48,5.51,9.87,8,IT,1st,M,Urban,Government,2,7,1,8.93,7.25,9.84,2.59,1
93,8.92,4.94,8.26,10,IT,3rd,F,Rural,Private,5,6,0,9.13,7.74,6.63,-1.11,0
57,8.5,9.72,2.65,4,CS,4th,M,Rural,Private,10,10,0,3.32,5.46,9.94,4.48,0
96,8.08,6.43,7.26,0,BIO,1st,M,Rural,Government,2,20,0,3.63,5.95,8.76,2.81,0
84,9.32,6.02,2.14,4,BIO,3rd,F,Rural,Private,6,21,0,3.07,7.69,5.01,-2.68,0
63,6.12,4.09,7.82,4,EE,4th,M,Urban,Private,0,7,1,5.91,9.82,7.43,-2.39,1
66,9.37,4.92,1.48,10,CS,3rd,F,Rural,Private,8,18,1,5.74,5.14,9.17,4.03,1
85,8.95,6.53,4.74,6,BIO,3rd,M,Rural,Private,9,5,1,5.37,9.56,7.67,-1.89,0
99,8.74,4.41,7.91,8,IT,3rd,M,Urban,Private,1,19,1,7.96,9.49,7.75,-1.74,0
89,7.81,7.06,2.8,4,IT,4th,M,Rural,Private,3,18,1,3.4,9.29,7.24,-2.05,0
53,6.23,6.73,8.37,2,IT,4th,M,Urban,Government,5,18,1,5.18,6.89,6.98,0.09,0
51,7.12,8.6,6.44,6,CS,2nd,M,Urban,Private,5,3,1,6.22,7.45,5.14,-2.31,0
55,8.97,7.96,3.98,6,CE,2nd,F,Urban,Private,10,21,1,4.99,7.02,8.11,1.09,0
91,5.16,6.68,4.23,4,EE,2nd,M,Urban,Private,7,14,0,4.12,9.74,8.83,-0.91,0
53,8.91,5.35,9.26,10,EE,2nd,M,Urban,Private,7,16,0,9.63,7.61,8.95,1.34,1
78,6.2,8.36,2.18,2,IT,4th,F,Rural,Private,3,17,0,2.09,5.4,8.12,2.72,0
67,5.72,8.25,6.93,4,ME,2nd,F,Urban,Government,5,19,1,5.46,6.37,6.71,0.34,1
75,5.58,4.92,7.07,2,CS,1st,M,Rural,Private,8,11,1,4.54,7.31,5.11,-2.2,1
93,5.14,9.49,9.22,6,BIO,2nd,F,Rural,Private,6,9,0,7.61,9.77,9.48,-0.29,0
83,7.62,4.39,7.13,2,BIO,1st,M,Urban,Government,7,8,0,4.56,7.84,7.15,-0.69,0
59,6.09,4.33,5.84,4,CE,1st,F,Urban,Private,7,7,0,4.92,8.48,8.01,-0.47,1
85,9.95,5.12,9.03,0,IT,3rd,F,Rural,Government,1,7,1,4.51,5.44,5.97,0.53,1
63,7.87,9.46,8.29,0,ME,3rd,M,Urban,Government,6,10,1,4.14,9.39,5.71,-3.68,1
80,5.69,7.12,7.17,2,IT,3rd,F,Rural,Private,2,22,1,4.58,7.7,5.43,-2.27,0
97,8.44,8.73,0.33,10,ME,2nd,M,Urban,Government,6,11,1,5.16,9.61,8.99,-0.62,0
64,9.49,5.37,3.74,4,EE,4th,M,Urban,Government,1,21,1,3.87,7.23,8.23,1.0,1
57,8.73,6.94,6.32,8,ME,1st,M,Urban,Private,0,22,0,7.16,8.42,8.11,-0.31,0
63,5.38,6.15,5.22,0,EE,4th,F,Rural,Private,10,5,1,2.61,7.35,9.6,2.25,2
72,9.48,8.97,3.19,6,EE,4th,M,Urban,Government,8,2,1,4.6,5.71,5.79,0.08,0
89,8.97,4.14,1.44,4,CS,2nd,F,Urban,Government,9,14,1,2.72,6.36,5.85,-0.51,1
70,5.79,5.46,5.53,4,ME,4th,M,Rural,Private,9,5,1,4.77,5.34,5.95,0.61,2
65,5.26,4.92,2.86,0,CE,4th,F,Rural,Private,0,6,0,1.43,7.2,7.12,-0.08,2
94,7.79,9.16,2.33,8,CE,3rd,F,Rural,Private,10,5,1,5.16,8.25,9.37,1.12,0
67,5.78,6.81,3.99,6,ME,3rd,F,Urban,Private,0,1,0,5.0,6.22,9.41,3.19,1
96,9.17,6.43,7.85,8,CS,1st,F,Rural,Private,10,5,0,7.92,7.45,7.95,0.5,0
73,6.79,6.7,4.88,6,CE,1st,M,Rural,Government,2,1,0,5.44,7.29,8.29,1.0,0
75,9.56,9.83,2.16,0,IT,3rd,M,Rural,Government,0,0,1,1.08,7.67,9.49,1.82,0
74,7.83,9.1,1.17,4,CE,2nd,M,Urban,Government,6,14,0,2.58,5.92,8.12,2.2,1
94,5.91,8.24,4.99,6,CS,2nd,M,Urban,Government,6,9,0,5.5,7.67,6.15,-1.52,0
90,5.7,5.74,7.94,4,EE,1st,F,Urban,Private,10,9,1,5.97,6.82,8.52,1.7,1
78,7.88,4.99,6.53,2,EE,3rd,M,Rural,Government,7,9,0,4.27,6.43,8.85,2.42,0
64,8.81,9.53,2.32,2,EE,2nd,F,Urban,Government,1,4,1,2.16,7.93,8.18,0.25,0
94,8.91,6.54,4.37,0,CS,4th,F,Urban,Government,6,3,0,2.18,5.74,6.37,0.63,0
50,6.38,5.67,8.55,0,EE,1st,M,Rural,Private,8,24,0,4.28,9.5,7.0,-2.5,2
74,6.02,6.83,1.78,10,EE,1st,M,Urban,Private,10,14,1,5.89,9.67,7.35,-2.32,1
56,5.08,9.51,5.32,0,CS,4th,M,Urban,Private,9,8,1,2.66,8.3,5.73,-2.57,2
58,8.4,6.32,3.56,2,IT,4th,M,Rural,Private,4,15,1,2.78,6.52,7.26,0.74,0
73,5.38,7.38,1.24,6,CE,1st,M,Rural,Government,9,8,1,3.62,8.13,5.81,-2.32,1
50,7.1,8.82,0.5,8,CS,4th,F,Rural,Government,2,18,0,4.25,8.01,7.5,-0.51,1
93,8.01,6.56,5.56,0,CS,2nd,M,Rural,Government,8,13,0,2.78,6.96,5.25,-1.71,0
57,9.69,5.4,0.21,8,ME,1st,M,Rural,Government,0,11,0,4.11,6.44,9.74,3.3,1
73,6.56,9.97,1.03,8,EE,2nd,M,Rural,Government,2,11,1,4.51,5.84,6.23,0.39,1
60,6.25,9.74,3.48,2,BIO,1st,F,Rural,Government,1,2,1,2.74,6.09,7.34,1.25,0
66,8.27,9.06,0.44,10,IT,2nd,M,Rural,Government,1,18,1,5.22,8.27,5.16,-3.11,1
57,8.1,8.13,4.0,6,BIO,3rd,F,Urban,Government,2,10,0,5.0,9.43,5.96,-3.47,0
84,6.66,5.77,1.3,2,ME,2nd,F,Urban,Private,9,4,0,1.65,6.92,8.47,1.55,1
84,9.64,9.48,3.5,0,IT,4th,F,Urban,Government,6,5,1,1.75,5.61,5.56,-0.05,0
82,9.22,5.65,7.91,2,EE,3rd,M,Urban,Government,5,5,0,4.96,5.06,8.14,3.08,0
54,6.12,8.8,6.26,2,BIO,1st,F,Urban,Private,8,18,1,4.13,7.03,5.01,-2.02,0
91,6.2,9.51,4.45,2,EE,2nd,F,Rural,Government,9,13,1,3.22,6.16,7.33,1.17,0
88,7.56,7.62,0.92,0,EE,1st,F,Rural,Government,10,15,1,0.46,6.61,8.61,2.0,1
90,8.87,8.82,6.19,0,CE,3rd,M,Rural,Private,9,11,0,3.1,6.21,9.63,3.42,0
77,5.22,8.75,1.64,2,IT,4th,F,Urban,Private,2,17,0,1.82,8.32,7.46,-0.86,1
56,8.47,5.16,0.77,2,IT,4th,M,Urban,Government,4,21,0,1.38,8.19,9.2,1.01,1
58,8.24,8.01,6.64,8,ME,4th,F,Rural,Private,8,12,1,7.32,9.56,9.01,-0.55,0
57,6.16,4.56,9.12,6,CS,1st,F,Rural,Private,2,19,0,7.56,8.5,6.48,-2.02,1
61,8.41,7.05,4.61,8,EE,4th,M,Urban,Private,7,8,0,6.3,5.82,9.37,3.55,0
83,9.7,4.97,0.41,10,EE,4th,F,Urban,Private,8,17,1,5.2,8.76,8.2,-0.56,1
82,5.23,6.5,8.8,6,BIO,1st,F,Rural,Government,10,3,0,7.4,5.91,5.52,-0.39,0
97,6.6,9.0,0.67,10,ME,1st,F,Urban,Private,10,10,0,5.34,7.79,9.7,1.91,0
72,7.19,9.92,8.68,6,IT,3rd,M,Urban,Private,6,17,1,7.34,5.39,5.88,0.49,0
73,9.5,5.91,3.92,2,CE,4th,M,Rural,Government,5,20,0,2.96,5.24,7.35,2.11,1
86,9.81,7.19,3.65,8,IT,3rd,M,Rural,Private,10,2,0,5.82,7.32,7.33,0.01,0
84,7.22,7.07,5.43,6,CE,2nd,F,Urban,Private,5,3,1,5.72,5.52,8.13,2.61,0
93,8.75,9.73,9.57,10,CE,2nd,F,Rural,Private,5,8,0,9.78,6.53,8.32,1.79,0
89,7.66,6.87,8.99,6,IT,2nd,F,Rural,Government,4,12,0,7.5,6.69,6.16,-0.53,0
71,7.69,8.19,4.7,0,BIO,2nd,M,Urban,Private,6,14,1,2.35,8.85,6.76,-2.09,1
76,6.39,9.53,6.96,6,EE,1st,M,Urban,Private,6,9,0,6.48,6.66,5.72,-0.94,0
84,6.08,6.24,5.8,2,CE,3rd,M,Rural,Private,6,20,0,3.9,7.47,5.63,-1.84,0
50,6.44,9.41,6.93,4,BIO,3rd,F,Urban,Private,2,8,0,5.46,8.86,9.13,0.27,0
84,7.78,9.5,8.29,0,ME,1st,M,Rural,Private,10,15,0,4.14,6.02,8.75,2.73,0
86,5.15,9.58,0.34,4,ME,2nd,M,Rural,Private,5,15,0,2.17,9.02,7.21,-1.81,1
96,9.54,5.62,3.26,2,CE,3rd,F,Urban,Government,8,12,0,2.63,9.16,5.48,-3.68,0
63,5.78,6.4,9.59,4,EE,4th,M,Rural,Private,8,4,1,6.8,9.94,7.25,-2.69,1
52,6.1,9.22,9.49,6,CE,1st,F,Urban,Government,3,9,1,7.74,7.22,6.47,-0.75,0
50,7.59,6.15,0.11,4,ME,1st,F,Urban,Government,8,24,0,2.06,6.85,8.89,2.04,1
54,8.55,7.6,2.01,8,ME,4th,M,Urban,Government,1,23,0,5.0,8.51,5.48,-3.03,0
75,5.48,4.71,9.94,2,IT,2nd,M,Urban,Government,7,0,0,5.97,5.29,7.26,1.97,1
63,6.59,4.34,4.93,8,EE,2nd,F,Rural,Private,1,2,1,6.46,5.2,7.96,2.76,1
88,9.84,6.47,5.73,4,IT,3rd,M,Rural,Private,4,20,0,4.86,6.67,9.93,3.26,0
76,6.31,7.47,1.66,8,BIO,4th,F,Rural,Private,5,2,1,4.83,8.65,5.45,-3.2,0
58,6.57,6.36,8.94,0,BIO,3rd,M,Urban,Private,1,9,0,4.47,5.58,5.57,-0.01,1
64,9.18,7.47,2.31,4,BIO,2nd,M,Rural,Private,8,16,1,3.16,8.18,9.94,1.76,0
64,5.25,7.09,1.9,10,CS,3rd,F,Rural,Private,5,17,0,5.95,6.35,7.03,0.68,1
75,7.32,8.11,2.28,8,BIO,4th,F,Urban,Government,7,12,1,5.14,8.26,8.72,0.46,0
91,6.9,7.9,9.2,6,CE,4th,M,Urban,Private,3,1,0,7.6,7.28,8.92,1.64,0
62,6.58,6.55,7.03,4,IT,4th,M,Rural,Private,2,15,1,5.52,5.58,6.57,0.99,0
81,6.43,6.55,7.69,10,BIO,2nd,F,Rural,Government,3,3,0,8.85,6.24,6.07,-0.17,0
88,5.46,4.84,3.77,0,EE,1st,M,Urban,Private,0,21,0,1.88,6.1,6.38,0.28,2
98,6.57,7.08,9.09,6,BIO,1st,M,Urban,Government,0,17,0,7.54,5.82,8.82,3.0,0
81,5.22,7.52,7.89,4,CE,1st,M,Urban,Private,7,13,0,5.94,7.34,9.2,1.86,0
53,8.9,6.86,7.51,6,CE,3rd,F,Rural,Private,0,5,1,6.76,9.77,8.5,-1.27,0
79,6.99,5.95,9.71,4,CE,4th,M,Rural,Government,4,10,0,6.86,8.29,7.21,-1.08,0
86,7.22,8.33,3.66,4,CE,2nd,M,Urban,Private,9,16,1,3.83,9.18,6.31,-2.87,0
72,9.47,4.45,6.11,2,CE,1st,M,Urban,Private,8,7,1,4.06,9.91,7.13,-2.78,1
88,8.29,9.49,9.1,8,EE,1st,F,Rural,Government,2,2,1,8.55,7.7,9.57,1.87,0
94,5.04,4.12,7.91,4,CS,3rd,F,Urban,Private,9,23,0,5.96,6.19,9.32,3.13,1
64,9.72,9.77,5.63,0,ME,3rd,M,Urban,Private,1,2,0,2.82,9.64,6.62,-3.02,1
92,6.19,6.77,0.76,10,CS,1st,F,Urban,Private,4,16,1,5.38,8.49,6.64,-1.85,0
78,5.54,6.48,6.53,8,ME,4th,F,Rural,Private,1,3,0,7.26,9.79,8.9,-0.89,0
85,8.84,5.54,5.27,2,IT,4th,M,Rural,Government,9,18,1,3.64,8.26,7.13,-1.13,0
62,7.5,4.06,1.84,8,CE,3rd,M,Urban,Government,0,7,1,4.92,8.88,7.86,-1.02,1
81,7.17,5.65,8.82,8,IT,3rd,F,Rural,Government,10,16,1,8.41,9.45,7.11,-2.34,0
56,6.25,4.66,3.43,4,IT,4th,M,Urban,Government,8,24,1,3.72,8.8,6.21,-2.59,1
71,7.74,7.96,3.87,0,ME,3rd,M,Rural,Government,10,24,1,1.94,7.81,5.94,-1.87,1
77,6.37,5.91,6.72,4,EE,3rd,M,Rural,Private,9,21,0,5.36,7.36,5.7,-1.66,0
51,9.51,8.6,4.89,0,CE,4th,M,Urban,Private,10,4,1,2.44,9.12,5.06,-4.06,1
91,6.08,5.24,0.89,0,BIO,4th,F,Urban,Government,8,10,0,0.44,8.86,6.4,-2.46,1
94,9.42,9.4,3.87,6,IT,2nd,F,Rural,Government,0,11,1,4.94,6.83,5.86,-0.97,0
55,7.8,7.14,0.94,4,CS,3rd,M,Rural,Private,3,20,0,2.47,7.49,6.29,-1.2,1
77,9.14,4.69,1.91,2,CE,3rd,M,Urban,Government,4,14,1,1.96,8.17,5.38,-2.79,1
77,8.56,6.41,0.07,10,EE,2nd,F,Urban,Government,1,11,0,5.04,5.14,6.71,1.57,0
93,8.48,5.24,1.81,8,CE,3rd,M,Urban,Private,10,21,0,4.9,6.24,7.6,1.36,1
93,6.62,5.2,3.3,6,BIO,3rd,M,Urban,Private,8,6,0,4.65,6.25,9.72,3.47,0
69,6.17,7.04,5.38,2,BIO,1st,M,Urban,Government,8,23,1,3.69,9.42,6.74,-2.68,0
79,6.05,8.03,9.19,10,IT,1st,F,Rural,Government,8,2,1,9.59,6.66,5.16,-1.5,0
60,9.29,9.47,5.4,10,CS,1st,M,Urban,Private,7,9,1,7.7,7.73,6.81,-0.92,0
77,9.1,7.01,7.06,4,IT,2nd,M,Urban,Government,5,15,0,5.53,9.16,9.09,-0.07,0
74,7.2,9.8,3.58,0,EE,3rd,M,Urban,Government,0,0,0,1.79,6.3,6.7,0.4,1
88,5.66,9.65,7.52,4,ME,2nd,M,Rural,Private,9,20,0,5.76,5.62,6.46,0.84,0
82,6.91,9.19,6.2,10,BIO,2nd,M,Rural,Government,4,10,1,8.1,9.74,9.59,-0.15,0
50,8.1,7.0,4.6,4,CS,3rd,F,Rural,Government,7,16,1,4.3,8.52,6.49,-2.03,0
76,7.27,4.85,1.94,6,BIO,4th,M,Urban,Government,3,13,1,3.97,5.89,9.85,3.96,1
62,8.9,5.31,3.04,2,EE,4th,F,Urban,Private,7,17,1,2.52,9.1,9.16,0.06,1
90,9.99,7.89,6.21,10,EE,3rd,F,Rural,Private,5,11,1,8.1,8.94,8.42,-0.52,0
52,5.96,6.53,4.26,6,BIO,4th,M,Rural,Private,0,15,1,5.13,9.19,7.99,-1.2,1
88,7.3,4.88,8.89,2,IT,1st,M,Urban,Government,0,7,1,5.44,6.38,6.12,-0.26,0
55,7.15,6.87,2.35,6,BIO,3rd,M,Rural,Government,2,2,1,4.18,7.24,8.65,1.41,0
57,6.52,4.1,0.73,8,IT,2nd,M,Rural,Government,0,10,1,4.36,8.47,6.74,-1.73,1
76,5.99,8.4,5.89,0,BIO,1st,M,Urban,Private,3,14,0,2.94,6.95,7.43,0.48,1
58,5.33,4.44,8.86,0,IT,2nd,M,Rural,Government,2,3,0,4.43,5.35,5.52,0.17,2
86,9.44,7.77,3.65,0,ME,4th,M,Urban,Private,6,15,1,1.82,5.68,6.48,0.8,0
82,7.1,8.76,6.48,8,CE,3rd,M,Rural,Government,10,21,1,7.24,7.99,7.65,-0.34,0
91,7.48,4.8,2.31,10,CE,1st,M,Rural,Government,8,23,0,6.16,6.88,7.34,0.46,0
93,9.58,7.11,5.58,10,IT,3rd,M,Urban,Private,6,16,1,7.79,5.03,6.72,1.69,0
73,8.88,8.67,7.87,8,IT,1st,F,Rural,Government,10,13,0,7.94,8.83,7.36,-1.47,0
64,5.65,5.56,8.67,0,ME,1st,M,Urban,Government,4,1,0,4.34,7.08,8.72,1.64,2
81,7.83,4.98,1.05,0,CE,1st,M,Rural,Private,0,21,0,0.52,6.57,7.3,0.73,1
81,7.21,6.02,3.56,2,ME,3rd,M,Rural,Government,4,14,0,2.78,8.57,7.53,-1.04,0
73,8.99,7.33,6.4,2,EE,1st,F,Urban,Government,0,23,1,4.2,7.28,8.51,1.23,0
90,8.62,7.45,0.35,4,BIO,1st,F,Urban,Government,5,7,1,2.17,8.47,9.21,0.74,0
98,8.45,4.79,6.91,6,CE,3rd,F,Rural,Government,7,12,1,6.46,5.07,7.63,2.56,0
98,6.7,6.75,5.28,2,IT,2nd,M,Urban,Private,6,2,1,3.64,5.05,9.74,4.69,0
61,9.02,5.61,2.89,2,CS,4th,F,Urban,Government,0,3,1,2.45,7.8,6.77,-1.03,1
88,5.26,9.05,8.15,2,EE,3rd,M,Urban,Private,7,3,1,5.08,9.91,6.26,-3.65,0
51,5.8,5.88,2.9,2,BIO,3rd,M,Urban,Government,8,3,1,2.45,6.36,8.47,2.11,2
52,6.68,9.03,9.91,8,CS,1st,F,Rural,Government,9,1,0,8.96,8.41,5.88,-2.53,0
98,5.38,6.57,8.16,4,ME,3rd,M,Rural,Government,1,12,0,6.08,5.86,9.5,3.64,0
86,6.17,8.36,7.08,2,BIO,3rd,F,Urban,Private,0,21,0,4.54,6.56,6.93,0.37,0
98,9.15,7.06,0.61,10,ME,4th,F,Rural,Government,5,7,1,5.3,5.39,8.49,3.1,0
66,9.74,7.73,9.04,6,ME,3rd,F,Rural,Government,3,8,0,7.52,9.4,7.85,-1.55,0
98,6.52,6.37,7.9,2,IT,1st,M,Rural,Private,6,0,1,4.95,6.55,5.27,-1.28,0
51,6.32,8.61,2.29,8,ME,4th,M,Rural,Private,2,0,1,5.14,6.15,8.55,2.4,0
51,6.4,6.55,3.92,10,CS,3rd,M,Rural,Government,2,8,1,6.96,8.65,8.95,0.3,0
77,6.39,6.74,2.69,0,EE,1st,M,Rural,Private,7,10,0,1.34,6.0,9.91,3.91,0
72,5.18,7.11,9.84,0,IT,4th,F,Urban,Private,6,15,0,4.92,6.2,7.08,0.88,2
86,9.63,8.99,8.54,4,EE,3rd,M,Rural,Government,4,3,1,6.27,5.52,7.51,1.99,0
81,6.07,7.96,9.3,0,ME,1st,F,Rural,Private,2,14,0,4.65,9.81,9.37,-0.44,0
82,7.1,6.09,7.89,2,CE,4th,M,Urban,Government,0,6,0,4.94,6.24,6.35,0.11,0
50,5.05,8.02,4.56,8,BIO,1st,F,Urban,Private,10,1,0,6.28,9.98,5.95,-4.03,1
68,9.29,7.85,2.05,4,IT,4th,F,Rural,Private,2,9,0,3.02,5.88,5.66,-0.22,0
51,8.66,9.59,2.08,10,ME,3rd,M,Rural,Government,8,16,1,6.04,5.1,9.89,4.79,0
93,9.73,9.05,1.52,2,IT,2nd,F,Rural,Government,0,10,1,1.76,9.48,6.35,-3.13,0
75,8.91,7.88,5.47,0,CE,4th,M,Rural,Government,4,22,0,2.74,7.9,8.79,0.89,0
81,6.57,6.05,9.2,6,CS,3rd,M,Urban,Private,3,21,1,7.6,6.76,7.25,0.49,0
55,6.24,8.68,9.92,2,CS,4th,F,Urban,Government,10,18,1,5.96,7.57,6.2,-1.37,0
81,8.49,7.45,2.87,6,BIO,2nd,M,Urban,Government,5,9,1,4.44,6.3,9.57,3.27,0
53,6.82,9.91,6.97,10,CS,1st,F,Urban,Government,1,3,1,8.48,8.17,7.32,-0.85,0
60,7.83,5.49,5.97,6,CE,2nd,M,Urban,Private,3,12,1,5.98,8.08,7.83,-0.25,1
66,5.03,4.48,4.89,10,EE,2nd,F,Urban,Government,8,0,1,7.44,5.4,6.11,0.71,2
87,5.31,4.42,6.66,4,CE,1st,F,Rural,Government,10,6,0,5.33,9.55,6.62,-2.93,1
73,7.68,7.84,3.71,8,CE,2nd,M,Rural,Private,4,8,1,5.86,7.3,8.74,1.44,0
54,7.83,9.64,9.44,0,ME,3rd,M,Rural,Government,7,0,1,4.72,5.98,6.72,0.74,1
83,8.76,4.01,7.05,0,CS,4th,F,Urban,Government,1,17,0,3.52,6.54,7.53,0.99,1
55,5.66,8.35,7.54,2,IT,2nd,M,Rural,Government,10,17,0,4.77,9.33,5.57,-3.76,1
71,7.57,7.94,2.42,0,BIO,4th,F,Urban,Government,8,15,0,1.21,6.92,9.25,2.33,1
60,5.97,8.39,1.69,4,EE,4th,M,Urban,Private,6,21,1,2.84,7.81,8.69,0.88,1
97,5.47,6.13,3.94,0,IT,1st,F,Rural,Government,6,15,0,1.97,9.74,8.8,-0.94,1
65,7.05,8.92,7.67,2,ME,2nd,M,Rural,Government,1,4,1,4.84,8.26,5.89,-2.37,0
82,5.82,4.27,9.39,0,ME,1st,F,Rural,Government,7,13,1,4.7,8.38,7.48,-0.9,2
58,6.11,8.53,4.27,8,EE,1st,M,Rural,Government,8,21,1,6.14,6.24,5.14,-1.1,0
55,6.59,5.6,7.74,10,IT,4th,M,Urban,Government,9,0,0,8.87,8.34,6.58,-1.76,1
